entity_id,time,behavior,value
fly_a,0.0,walking,0.15
fly_a,0.0,grooming,0.08
fly_a,0.1,walking,0.15
fly_a,0.1,grooming,0.08
fly_a,0.2,walking,0.15000000000000002
fly_a,0.2,grooming,0.08000000000000008
fly_a,0.3,walking,0.15000000000000177
fly_a,0.3,grooming,0.08000000000000328
fly_a,0.4,walking,0.15000000000013425
fly_a,0.4,grooming,0.08000000000010983
fly_a,0.5,walking,0.15000000000742045
fly_a,0.5,grooming,0.08000000000299519
fly_a,0.6,walking,0.15000000030125069
fly_a,0.6,grooming,0.08000000006643217
fly_a,0.7,walking,0.15000000898223928
fly_a,0.7,grooming,0.08000000119840088
fly_a,0.8,walking,0.15000019669788411
fly_a,0.8,grooming,0.08000001758310475
fly_a,0.9,walking,0.15000316353941018
fly_a,0.9,grooming,0.0800002098257294
fly_a,1.0,walking,0.1500373684688435
fly_a,1.0,grooming,0.0800020365339525
fly_a,1.1,walking,0.15032418719034527
fly_a,1.1,grooming,0.08001607660359837
fly_a,1.2,walking,0.1520655936559302
fly_a,1.2,grooming,0.08010322067319738
fly_a,1.3,walking,0.15966612539714964
fly_a,1.3,grooming,0.08053902487312786
fly_a,1.4,walking,0.18322143989901193
fly_a,1.4,grooming,0.0822893946311352
fly_a,1.5,walking,0.23385770493165833
fly_a,1.5,grooming,0.08790864805221334
fly_a,1.6,walking,0.3054626211286976
fly_a,1.6,grooming,0.102220487021484
fly_a,1.7,walking,0.3616739881769607
fly_a,1.7,grooming,0.13077788794351713
fly_a,1.8,walking,0.3616739881769607
fly_a,1.8,grooming,0.17437683903712448
fly_a,1.9,walking,0.3054626211286976
fly_a,1.9,grooming,0.22266779765367345
fly_a,2.0,walking,0.23385770493165833
fly_a,2.0,grooming,0.2554107566771387
fly_a,2.1,walking,0.18322143989901193
fly_a,2.1,grooming,0.2554107566771387
fly_a,2.2,walking,0.15966612539714964
fly_a,2.2,grooming,0.22266779765367353
fly_a,2.3,walking,0.15206559365593197
fly_a,2.3,grooming,0.17437683903712786
fly_a,2.4,walking,0.15032418719047952
fly_a,2.4,grooming,0.13077788794362705
fly_a,2.5,walking,0.15003736847626395
fly_a,2.5,grooming,0.10222048702447918
fly_a,2.6,walking,0.15000316384066087
fly_a,2.6,grooming,0.0879086481186455
fly_a,2.7,walking,0.1500002056801234
fly_a,2.7,grooming,0.08228939582953608
fly_a,2.8,walking,0.1500002056801234
fly_a,2.8,grooming,0.08053904245623261
fly_a,2.9,walking,0.15000316384066087
fly_a,2.9,grooming,0.08010343049892678
fly_a,3.0,walking,0.15003736847626395
fly_a,3.0,grooming,0.08001811313755088
fly_a,3.1,walking,0.15032418719047952
fly_a,3.1,grooming,0.08001811313755088
